Index,Time Start,Time End,Dispersion Constant,Dispersion Error,Burst/Survey,Electric/Magnetic,Notes
16,11/03/2019 21:29:46,11/03/2019 21:29:49,731.4794763, ±27.046 ,Survey,Magnetic,
17,11/03/2019 21:30:47,11/03/2019 21:30:50,553.1359037, ±23.519 ,Survey,Electric,
17,11/03/2019 21:30:48,11/03/2019 21:30:55,753.7730658, ±27.455 ,Survey,Magnetic,
18,11/03/2019 21:31:15,11/03/2019 21:31:21,592.1291662, ±24.334 ,Survey,Electric,
18,11/03/2019 21:31:15,11/03/2019 21:31:21,769.3530447, ±27.737 ,Survey,Magnetic,
19,11/03/2019 21:31:18,11/03/2019 21:31:23,785.9528144, ±28.035 ,Survey,Electric,
19,11/03/2019 21:31:18,11/03/2019 21:31:23,679.6013699, ±26.069 ,Survey,Magnetic,
20,11/03/2019 21:31:41,11/03/2019 21:31:44,744.023851, ±27.277 ,Survey,Electric,Updated from a value of ~300(way off)
20,11/03/2019 21:31:41,11/03/2019 21:31:47,623.2495667, ±24.965 ,Survey,Magnetic,
21,11/03/2019 21:32:06,11/03/2019 21:32:11,2365.372506, ±48.635 ,Survey,Electric,Updated from a value of 1501
22,11/03/2019 21:32:18,11/03/2019 21:32:24,596.0972448, ±24.415 ,Survey,Magnetic,
23,11/03/2019 21:32:37,11/03/2019 21:32:40,557.704883, ±22.317 ,Survey,Electric,
23,11/03/2019 21:32:37,11/03/2019 21:32:41,649.7635918, ±25.490 ,Survey,Magnetic,
24,11/03/2019 21:33:00,11/03/2019 21:33:06,605.3293226, ±24.603 ,Survey,Electric,
24,11/03/2019 21:33:00,11/03/2019 21:33:06,646.1539762, ±25.420 ,Survey,Magnetic,
25,11/03/2019 21:34:33,11/03/2019 21:34:36,561.4236286, ±23.694 ,Survey,Electric,
26,11/03/2019 21:35:22,11/03/2019 21:35:26,525.7931971, ±22.930 ,Survey,Electric,
27,11/03/2019 21:36:09,11/03/2019 21:36:11,614.3308973, ±24.786 ,Survey,Electric,"These are examples of a ""muted"" whistlers as I am calling them. Just above baseline noise and sometimes very short, sometime longer. These 2 stood out a bit more prominently, so I recorded them"
28,11/03/2019 21:36:54,11/03/2019 21:36:58,1264.367621, ±35.558 ,Survey,Electric,"These are examples of a ""muted"" whistlers as I am calling them. Just above baseline noise and sometimes very short, sometime longer. These 2 stood out a bit more prominently, so I recorded them"
29,11/03/2019 21:38:47,11/03/2019 21:38:51,848.0857212, ±29.122 ,Survey,Electric,
30,11/03/2019 21:38:58,11/03/2019 21:39:03,1030.961497, ±32.109 ,Survey,Electric,"REMOVE FROM LIST, COULD NOT FIND"
31,07/25/2020 02:17:31,07/25/2020 02:17:35,946.060637, ±28.252 ,Survey,Electric,"Updated, Trust Magnetic More"
31,07/25/2020 02:17:31,07/25/2020 02:17:35,879.4857621, ±29.656 ,Survey,Magnetic,Trust Magnetic More
32,07/25/2020 02:26:16,07/25/2020 02:26:26,1108.805157, ±33.299 ,Survey,Electric,
32,07/25/2020 02:26:16,07/25/2020 02:26:26,1092.801003, ±33.058 ,Survey,Magnetic,
33,07/25/2020 02:26:40,07/25/2020 02:26:47,1770.593592, ±42.078 ,Survey,Electric,
33,07/25/2020 02:26:38,07/25/2020 02:26:47,1892.217044, ±43.500 ,Survey,Magnetic,Magnetic is much fainter than electric
34,07/25/2020 02:27:27,07/25/2020 02:27:33,919.1794565, ±30.318 ,Survey,Electric,
34,07/25/2020 02:27:27,07/25/2020 02:27:33,987.3689262, ±31.422 ,Survey,Magnetic,
35,07/25/2020 02:27:51,07/25/2020 02:28:02,2055.111087, ±45.108 ,Survey,Electric,
35,07/25/2020 02:27:51,07/25/2020 02:28:02,1916.156841, ±43.774 ,Survey,Magnetic,
36,07/25/2020 02:28:13,07/25/2020 02:28:23,2781.818712, ±52.743 ,Survey,Electric,
36,07/25/2020 02:28:13,07/25/2020 02:28:23,2899.807437, ±53.850 ,Survey,Magnetic,
37,07/25/2020 02:28:35,07/25/2020 02:28:45,3717.40782, ±60.971 ,Survey,Electric,
38,07/25/2020 02:28:58,07/25/2020 02:29:09,4165.689694, ±64.542 ,Survey,Electric,Definitly something present
39,07/25/2020 02:28:59,07/25/2020 02:29:05,862.9261182, ±29.376 ,Survey,Electric,There might be some extreme(D>4000) whistlers in high frequency
40,07/25/2020 02:29:58,07/25/2020 02:30:04,932.1960408, ±30.532 ,Survey,Electric,
40,07/25/2020 02:29:58,07/25/2020 02:30:04,1123.663404, ±33.521 ,Survey,Magnetic,
41,07/25/2020 02:30:21,07/25/2020 02:30:29,1992.038679, ±44.632 ,Survey,Electric,"There probably is a magnetic component too, just faint"
42,07/25/2020 02:31:55,07/25/2020 02:32:02,865.9939642, ±29.428 ,Survey,Electric,
42,07/25/2020 02:31:55,07/25/2020 02:32:02,1057.890919, ±32.525 ,Survey,Magnetic,
43,07/25/2020 02:32:18,07/25/2020 02:32:25,2170.159775, ±46.585 ,Survey,Electric,Trust Magnetic More
43,07/25/2020 02:32:18,07/25/2020 02:32:25,1738.78027, ±41.699 ,Survey,Magnetic,Trust Magnetic More
44,07/25/2020 02:33:47,07/25/2020 02:33:55,997.2299094, ±31.579 ,Survey,Electric,
44,07/25/2020 02:33:47,07/25/2020 02:33:55,1064.234024, ±32.623 ,Survey,Magnetic,
45,07/25/2020 02:34:10,07/25/2020 02:34:17,1884.825491, ±43.415 ,Survey,Electric,Updated
45,07/25/2020 02:34:10,07/25/2020 02:34:17,2030.874085, ±45.065 ,Survey,Magnetic,Updated
46,07/25/2020 02:34:29,07/25/2020 02:34:34,1340.995553, ±36.620 ,Survey,Electric,Interesting that this is at such low frequencies
46,07/25/2020 02:34:29,07/25/2020 02:34:34,1251.87718, ±35.382 ,Survey,Magnetic,
47,07/25/2020 02:35:15,07/25/2020 02:35:22,1078.830361, ±32.846 ,Survey,Electric,
47,07/25/2020 02:35:15,07/25/2020 02:35:22,1018.928808, ±31.921 ,Survey,Magnetic,
48,07/25/2020 02:35:27,07/25/2020 02:35:32,553.1839639, ±23.520 ,Survey,Electric,"Data artifact exists in middle, but whistler visible on sides"
48,07/25/2020 02:35:27,07/25/2020 02:35:32,543.3355267, ±23.310 ,Survey,Magnetic,
49,07/25/2020 02:35:41,07/25/2020 02:35:47,981.7350074, ±31.333 ,Survey,Electric,
49,07/25/2020 02:35:41,07/25/2020 02:35:47,1081.648361, ±32.888 ,Survey,Magnetic,
50,07/25/2020 02:35:50,07/25/2020 02:35:54,1480.294573, ±38.475 ,Survey,Electric,
50,07/25/2020 02:35:50,07/25/2020 02:35:54,1777.964958, ±42.166 ,Survey,Magnetic,
51,07/25/2020 02:36:03,07/25/2020 02:36:13,1892.989778, ±43.509 ,Survey,Electric,
51,07/25/2020 02:36:03,07/25/2020 02:36:13,2185.659333, ±46.751 ,Survey,Magnetic,
52,07/25/2020 02:36:12,07/25/2020 02:36:19,2689.503361, ±51.860 ,Survey,Electric,Faint magnetic component exists as well
53,07/25/2020 02:36:29,07/25/2020 02:36:40,3173.975751, ±56.338 ,Survey,Electric,
54,07/25/2020 02:36:40,07/25/2020 02:36:46,1010.319082, ±31.786 ,Survey,Electric,
55,07/25/2020 02:36:49,07/25/2020 02:37:04,5135.019461, ±73.095 ,Survey,Electric,
56,07/25/2020 02:37:01,07/25/2020 02:37:04,739.6304599, ±27.196 ,Survey,Electric,
57,07/25/2020 02:37:04,07/25/2020 02:37:06,779.4035655, ±27.918 ,Survey,Electric,
58,07/25/2020 02:38:40,07/25/2020 02:38:46,908.6829112, ±30.144 ,Survey,Electric,
58,07/25/2020 02:38:40,07/25/2020 02:38:45,925.5972233, ±30.424 ,Survey,Magnetic,
59,07/25/2020 02:39:04,07/25/2020 02:39:13,2207.835069, ±46.988 ,Survey,Electric,
59,07/25/2020 02:39:04,07/25/2020 02:39:08,1762.476962, ±41.982 ,Survey,Magnetic,
60,07/25/2020 02:39:28,07/25/2020 02:39:34,3274.489638, ±57.223 ,Survey,Electric,
61,07/25/2020 02:41:41,07/25/2020 02:41:51,1008.411777, ±31.755 ,Survey,Electric,
61,07/25/2020 02:41:41,07/25/2020 02:41:49,955.4275946, ±30.910 ,Survey,Magnetic,
62,07/25/2020 02:42:03,07/25/2020 02:42:18,1963.398621, ±44.310 ,Survey,Electric,
62,07/25/2020 02:42:03,07/25/2020 02:42:16,1859.542752, ±43.122 ,Survey,Magnetic,
63,07/25/2020 02:42:22,07/25/2020 02:42:31,1056.470607, ±32.503 ,Survey,Electric,
63,07/25/2020 02:42:23,07/25/2020 02:42:30,1050.332382, ±32.409 ,Survey,Magnetic,
64,07/25/2020 02:42:27,07/25/2020 02:42:41,2891.396491, ±53.772 ,Survey,Electric,
64,07/25/2020 02:42:27,07/25/2020 02:42:41,2703.103447, ±51.991 ,Survey,Magnetic,
65,07/25/2020 02:42:27,07/25/2020 02:42:33,929.157186, ±30.482 ,Survey,Electric,
65,07/25/2020 02:42:27,07/25/2020 02:42:33,898.867207, ±29.981 ,Survey,Magnetic,
66,07/25/2020 02:42:45,07/25/2020 02:42:57,2040.279556, ±45.169 ,Survey,Electric,
66,07/25/2020 02:42:47,07/25/2020 02:42:56,2070.307086, ±45.501 ,Survey,Magnetic,
67,07/25/2020 02:43:55,07/25/2020 02:44:04,1047.560403, ±32.366 ,Survey,Electric,
67,07/25/2020 02:43:55,07/25/2020 02:44:03,889.667477, ±29.827 ,Survey,Magnetic,Updated
68,07/25/2020 02:44:18,07/25/2020 02:44:29,1894.70432, ±43.528 ,Survey,Electric,
68,07/25/2020 02:44:18,07/25/2020 02:44:29,1999.662151, ±44.718 ,Survey,Magnetic,
69,07/25/2020 02:46:20,07/25/2020 02:46:25,1071.921569, ±32.740 ,Survey,Electric,
69,07/25/2020 02:46:20,07/25/2020 02:46:26,1116.458903, ±33.413 ,Survey,Magnetic,
70,07/25/2020 02:48:13,07/25/2020 02:48:20,1063.822346, ±32.616 ,Survey,Electric,
70,07/25/2020 02:48:14,07/25/2020 02:48:20,1011.232004, ±31.800 ,Survey,Magnetic,
71,07/25/2020 02:48:40,07/25/2020 02:48:49,2118.716971, ±46.030 ,Survey,Electric,
72,07/25/2020 02:49:10,07/25/2020 02:49:18,1003.045353, ±31.671 ,Survey,Magnetic,
72,07/25/2020 02:49:10,07/25/2020 02:49:18,1080.48187, ±32.871 ,Survey,Electric,
73,07/25/2020 02:49:34,07/25/2020 02:49:38,1956.949545, ±44.237 ,Survey,Magnetic,
73,07/25/2020 02:49:34,07/25/2020 02:49:42,2062.485155, ±45.415 ,Survey,Electric,Updated
74,07/25/2020 02:49:59,07/25/2020 02:50:04,3662.303196, ±60.517 ,Survey,Electric,
75,44441.9073,44441.90736,331.4364618, ±18.205 ,Survey,Magnetic,"REMOVE FROM LIST, COULD NOT FIND"
76,44441.91508,44441.91515,808.9239113, ±28.442 ,Survey,Electric,
77,44441.91543,44441.91549,1276.814176, ±35.733 ,Survey,Electric,
78,44441.9158,44441.91584,1207.196577, ±34.745 ,Survey,Electric,
79,44142.94973,44142.94976,610.7639284, ±24.714 ,Survey,Magnetic,"There might be 2, one with frequency in the 10E4 range, and one in the 10E3 range. Same D constant though"
80,44142.94994,44142.95002,752.5189849, ±27.432 ,Survey,Magnetic,I think this batch of whistlers is just generally not as good as others
81,44142.95067,44142.95076,727.4060387, ±26.970 ,Survey,Magnetic,
82,44142.95233,44142.95236,384.4850794, ±19.608 ,Survey,Electric,"REMOVE FROM LIST, COULD NOT FIND"
82,44142.95233,44142.95236,499.2296868, ±22.343 ,Survey,Magnetic,"REMOVE FROM LIST, COULD NOT FIND"
83,44142.95382,44142.95387,561.1684587, ±23.689 ,Survey,Magnetic,
84,44142.95392,44142.95396,560.0431961, ±23.665 ,Survey,Magnetic,
85,44142.95413,44142.95417,518.3794616, ±22.768 ,Survey,Magnetic,
86,44142.95454,44142.95462,615.397784, ±24.807 ,Survey,Magnetic,This whistler is pretty good though
87,44142.95473,44142.9548,577.985831, ±24.041 ,Survey,Magnetic,This one too. Some possible features out to 22:58 also
88,43825.55125,43825.55128,455.6987606, ±21.347 ,Survey,Electric,Maybe? There's not a strong electric feature here
88,43825.55124,43825.55127,532.187983, ±23.069 ,Survey,Magnetic,
89,43825.5575,43825.55753,424.144193, ±20.595 ,Survey,Magnetic,
89,43825.5575,43825.55753,391.7296424, ±19.792 ,Survey,Electric,
90,43825.55759,43825.55762,496.2833219, ±22.277 ,Survey,Electric,
91,43825.55911,43825.55916,429.523693, ±20.725 ,Survey,Electric,
91,43825.55912,43825.55916,471.384216, ±21.711 ,Survey,Magnetic,
92,43825.55962,43825.55965,504.6157963, ±22.464 ,Survey,Electric,
92,43825.55963,43825.55966,687.1462339, ±26.213 ,Survey,Magnetic,
93,43825.56175,43825.56179,474.7709763, ±21.789 ,Survey,Electric,"REMOVE FROM LIST, COULD NOT FIND"
93,43825.56175,43825.56179,361.5518591, ±19.015 ,Survey,Magnetic,"REMOVE FROM LIST, COULD NOT FIND"
94,43825.55485,43825.55488,402.4631938, ±20.061 ,Survey,Electric,
95,43825.55497,43825.55499,400.2828285, ±20.007 ,Survey,Electric,
96,43825.55508,43825.55512,409.0907367, ±20.226 ,Survey,Electric,
96,43825.55508,43825.55512,585.7582919, ±24.202 ,Survey,Magnetic,
97,43825.5547,43825.55473,1000.493713, ±31.631 ,Survey,Electric,
97,43825.55469,43825.55473,579.1108572, ±24.065 ,Survey,Magnetic,
98,43825.55553,43825.55557,568.8044807, ±23.850 ,Survey,Electric,
99,43825.55595,43825.55601,359.2252844, ±18.953 ,Survey,Electric,
100,43825.55666,43825.5567,345.4067293, ±18.585 ,Survey,Electric,
101,43825.55736,43825.55741,425.0559638, ±20.617 ,Survey,Electric,
102,44195.94572,44195.9458,214.7714827, ±14.655 ,Survey,Magnetic,
103,44195.9484,44195.94847,658.8794072, ±25.669 ,Survey,Magnetic,
104,44195.95008,44195.95016,644.9194225, ±25.395 ,Survey,Electric,
104,44195.95009,44195.95017,538.0930259, ±23.197 ,Survey,Magnetic,
105,43878.67566,43878.67574,698.686564, ±26.433 ,Survey,Magnetic,
105,43878.67566,43878.67574,737.5667759, ±27.158 ,Survey,Electric,
106,43878.72705,43878.72708,498.0926678, ±22.318 ,Survey,Magnetic,
107,43878.72854,43878.7286,608.1774609, ±24.661 ,Survey,Electric,
107,43878.72855,43878.72859,504.9946689, ±22.472 ,Survey,Magnetic,
108,43878.72882,43878.72889,1311.282054, ±36.212 ,Survey,Magnetic,
109,43878.7291,43878.72913,487.5591513, ±22.081 ,Survey,Electric,
109,43878.7291,43878.72913,507.7739698, ±22.534 ,Survey,Magnetic,
110,43878.67531,43878.67535,626.3200549, ±25.026 ,Survey,Electric,
110,43878.67531,43878.67538,697.9144393, ±26.418 ,Survey,Magnetic,
111,43878.67716,43878.67723,650.0149749, ±25.495 ,Survey,Electric,
111,43878.67714,43878.67726,776.591899, ±27.867 ,Survey,Magnetic,
112,43878.69971,43878.69976,764.5119258, ±27.650 ,Survey,Electric,
113,43878.70091,43878.70095,487.0179639, ±22.068 ,Survey,Electric,
113,43878.70089,43878.70093,887.6434168, ±29.793 ,Survey,Magnetic,
114,43878.70071,43878.70074,510.9329481, ±22.604 ,Survey,Electric,
114,43878.70068,43878.70072,821.656431, ±28.665 ,Survey,Magnetic,
115,43878.70028,43878.70035,1706.176373, ±41.306 ,Survey,Electric,
115,43878.7003,43878.70034,1418.992383, ±37.670 ,Survey,Magnetic,
116,43878.70204,43878.70207,871.6422492, ±29.524 ,Survey,Electric,
116,43878.70203,43878.70206,1361.973306, ±36.905 ,Survey,Magnetic,
117,43878.70347,43878.7035,723.9067925, ±26.906 ,Survey,Electric,
117,43878.70346,43878.7035,736.82046, ±27.144 ,Survey,Magnetic,
118,43931.55663,43931.55672,415.4563924, ±20.383 ,Survey,Electric,
118,43931.55662,43931.55669,1150.934767, ±33.925 ,Survey,Magnetic,
119,43931.55689,43931.55697,2122.882538, ±46.075 ,Survey,Electric,
119,43931.55691,43931.55698,1889.318715, ±43.466 ,Survey,Magnetic,
120,44037.23608,44037.23616,1433.046938, ±37.856 ,Survey,Magnetic,The error bar on these should be much higher
121,44037.23619,44037.23623,612.827537, ±24.755 ,Survey,Magnetic,The error bar on these should be much higher
122,44704.13297,44704.13302,706.3639259, ±26.578 ,Survey,Magnetic,"Like the 09-02-2021 23:44 group, whistlers are dim and in magnetic only"
123,44704.13821,44704.13825,472.2674987, ±21.732 ,Survey,Magnetic,
124,44704.13877,44704.13881,583.3695002, ±24.153 ,Survey,Magnetic,
125,44704.13409,44704.13412,437.5814397, ±20.918 ,Survey,Magnetic,
126,44704.13444,44704.13449,492.3539833, ±22.189 ,Survey,Magnetic,
127,44704.13499,44704.13502,465.7764403, ±21.582 ,Survey,Magnetic,
128,44704.13645,44704.13649,794.6580122, ±28.190 ,Survey,Magnetic,
129,44704.13713,44704.13719,509.3147643, ±22.568 ,Survey,Magnetic,
130,44704.13721,44704.13728,325.1970977, ±18.033 ,Survey,Magnetic,
131,44704.13782,44704.13787,569.245593, ±23.859 ,Survey,Magnetic,
132,44704.138,44704.13807,560.6517934, ±23.678 ,Survey,Magnetic,
133,44441.98808,44441.98814,697.7649839, ±26.415 ,Survey,Magnetic,"Note for this whistler it is very faint, need high contrast to see. Holds true for all whistlers from this day"
134,44441.98818,44441.98822,472.8253699, ±21.745 ,Survey,Magnetic,
135,44441.98826,44441.98833,689.8718162, ±26.265 ,Survey,Magnetic,
136,44441.98846,44441.98852,620.8318508, ±24.916 ,Survey,Magnetic,
137,44441.98895,44441.98899,806.4528348, ±28.398 ,Survey,Magnetic,
138,44441.98942,44441.98948,1389.902877, ±37.281 ,Survey,Magnetic,
139,44441.99112,44441.99119,711.4810174, ±26.674 ,Survey,Magnetic,
140,44037.29343,44037.2935,612.4328176, 24.74738001510463 ,Burst,Electric, 
140,44037.29343,44037.2935,611.2382567, 24.723233135453786 ,Burst,Magnetic, 
141,44037.2949,44037.29495,558.3744488, 23.629948133882987 ,Burst,Electric, 
141,44037.2949,44037.29495,598.8551944, 24.471518024164336 ,Burst,Magnetic, 
142,44037.29517,44037.29527,1707.43723, 41.32114748837452 ,Burst,Electric,"Magnetic seems way off, check but maybe just discard
"
142,44037.29517,44037.29529,5185.449201, 72.01006318958483 ,Burst,Magnetic,"Magnetic seems way off, check but maybe just discard
"
143,44037.29529,44037.29534,531.0504146, 23.044531122285825 ,Burst,Electric,"Like before, magnetic seems off. Check or discard
"
143,44037.29529,44037.29532,945.3666183, 30.746814766476216 ,Burst,Magnetic,"Like before, magnetic seems off. Check or discard
"
144,44037.2935,44037.2936,1299.252631, 36.04514711660919 ,Burst,Electric, 
144,44037.2935,44037.29358,1269.29486, 35.62716464062219 ,Burst,Magnetic, 
145,44037.29374,44037.29387,1915.16847, 43.762637835132836 ,Burst,Electric, 
145,44037.29373,44037.29387,1720.850327, 41.48313304460019 ,Burst,Magnetic, 
146,44037.29396,44037.29405,1145.646279, 33.84739692355972 ,Burst,Electric, 
147,44037.29402,44037.29417,2706.456999, 52.02361962783828 ,Burst,Electric, 
148,44037.29425,44037.29432,645.9737627, ±25.416 ,Burst,Electric, 
148,44037.29424,44037.29431,640.2411022, 25.30298603333211 ,Burst,Magnetic, 
149,44037.29454,44037.29465,1698.500624, ±41.213 ,Burst,Electric, 
150,44037.29463,44037.29466,980.9811142, 31.320618036335105 ,Burst,Electric, 
151,44037.29477,44037.29483,994.709722, 31.539019039326508 ,Burst,Electric, 
152,44037.10157,44037.10164,1018.723122, 31.91744229154335 ,Burst,Electric, 
152,44037.10157,44037.10167,1060.443833, 32.564456591719754 ,Burst,Magnetic, 
153,44037.10679,44037.10686,1012.362256, 31.817640633774214 ,Burst,Electric, 
153,44037.10679,44037.10689,1009.821438, 31.777687734446634 ,Burst,Magnetic, 
154,44037.10707,44037.10712,2104.426683, 45.874030596264376 ,Burst,Electric, 
154,44037.10707,44037.10714,1997.11672, 44.689111877480855 ,Burst,Magnetic, 
155,44037.10781,44037.10788,1037.930711, 32.216932060113976 ,Burst,Electric, 
155,44037.10781,44037.10789,1034.005295, 32.155952710330325 ,Burst,Magnetic, 
156,44037.10787,44037.10787,36.76928247, 6.063768009497065 ,Burst,Electric, 
156,44037.10787,44037.10787,35.89697014, 5.991408026248921 ,Burst,Magnetic, 
157,44037.10795,44037.10797,411.9402793, 20.29631196234922 ,Burst,Electric, 
157,44037.10795,44037.10799,452.5276208, 21.27269660437999 ,Burst,Magnetic, 
158,44037.1081,44037.10818,969.1677543, 31.131459237546192 ,Burst,Electric, 
158,44037.10811,44037.10818,1087.820039, 32.98211695451037 ,Burst,Magnetic, 
159,44037.10837,44037.1085,2010.015751, 44.83319920678202 ,Burst,Electric, 
159,44037.10838,44037.10848,2179.330318, 46.683298062604784 ,Burst,Magnetic, 
160,44037.10847,44037.10854,2588.882017, 50.88105754470911 ,Burst,Electric, 
161,44037.10867,44037.10876,3131.514483, 55.95993640833592 ,Burst,Electric, 
161,44037.10867,44037.1088,3421.010188, 58.489402352221035 ,Burst,Magnetic, 
162,44037.10881,44037.10885,1008.797651, 31.76157506596611 ,Burst,Electric, 
162,44037.10881,44037.10887,984.3907404, 31.37500183934656 ,Burst,Magnetic, 
163,44037.10185,44037.1019,2051.888454, ±45.298 ,Burst,Electric,"Faint and only in Electric
"
164,44037.10896,44037.10907,4756.692318, 68.96877785022727 ,Burst,Electric, 
164,44037.10896,44037.1091,4722.461762, 68.72016997593211 ,Burst,Magnetic, 
165,44037.10907,44037.10911,1891.683924, 43.49349288856897 ,Burst,Electric, 
165,44037.10907,44037.10912,2093.985186, 45.76008289269153 ,Burst,Magnetic, 
166,44037.1102,44037.11027,999.2881284, 31.61151891929586 ,Burst,Electric, 
166,44037.1102,44037.11027,1072.234693, 32.744994926095195 ,Burst,Magnetic, 
167,44037.11045,44037.11051,2187.229343, 46.767823801594616 ,Burst,Electric,"This one is really noisy, and the dispersion constants not matching up might indicate that I selected points in the noise, not the actual whistler.
"
167,44037.11046,44037.11053,1879.85237, 43.357264328748876 ,Burst,Magnetic,"This one is really noisy, and the dispersion constants not matching up might indicate that I selected points in the noise, not the actual whistler.
"
168,44037.11074,44037.1108,2497.196033, 49.97195246376712 ,Burst,Electric, 
168,44037.11074,44037.1108,2192.939853, 46.82883570375202 ,Burst,Magnetic, 
169,44037.111,44037.11109,4027.346708, 63.46137965544872 ,Burst,Electric,"Had a funky visual glitch, not 100% on electric component
"
169,44037.111,44037.11109,4548.777046, 67.44462207005093 ,Burst,Magnetic,"Had a funky visual glitch, not 100% on electric component
"
170,44037.11228,44037.1124,1122.177865, 33.49892333701189 ,Burst,Electric, 
170,44037.11228,44037.11237,1037.572961, 32.21137937740326 ,Burst,Magnetic, 
171,44037.11255,44037.11269,1973.236992, 44.42113226736797 ,Burst,Electric, 
171,44037.11256,44037.11267,2007.279848, 44.80267679054456 ,Burst,Magnetic, 
172,44037.11277,44037.11287,1110.417866, 33.32293303999514 ,Burst,Electric, 
172,44037.11277,44037.11282,1035.828387, 32.18428788314261 ,Burst,Magnetic, 
173,44037.11282,44037.11287,1307.550401, 36.16006638329084 ,Burst,Electric, 
173,44037.11281,44037.11287,1110.343368, 33.32181519563423 ,Burst,Magnetic, 
174,44037.10241,44037.10245,925.4038065, 30.420450465796854 ,Burst,Electric, 
174,44037.10241,44037.10245,970.4738621, 31.152429473172713 ,Burst,Magnetic, 
175,44037.11306,44037.11314,2219.023212, 47.10650922784451 ,Burst,Electric, 
175,44037.11303,44037.11315,2209.26662, 47.002836296855534 ,Burst,Magnetic, 
176,44037.1131,44037.11325,4812.952124, 69.37544323361833 ,Burst,Electric, 
176,44037.11309,44037.11325,5387.742042, 73.40124005646635 ,Burst,Magnetic, 
177,44037.11384,44037.11391,1071.61863, 32.73558660175498 ,Burst,Electric, 
177,44037.11384,44037.11391,1046.3586, 32.34746666382083 ,Burst,Magnetic, 
178,44037.11549,44037.11557,1086.813815, 32.966859345242455 ,Burst,Magnetic, 
179,44037.11682,44037.11688,1097.860832, 33.13398303545772 ,Burst,Electric, 
